DateModified,Country,Adobe_Unique Visitors,Adobe_Engaged Visits,Utilization_Tests,SearchTrend_Value,Email_Opens,Sales_Calls,Utilization_MemberCount
1/1/2020,Belgium,679,130,236007,14602925,60,45,65
1/1/2020,France,4731,1355,375399,99868472,55056,833,61
1/1/2020,Germany,4004,682,449344,124838074,14095,194,95
1/1/2020,United Kingdom,6240,1917,167730,219950675,22504,251,14
1/1/2020,Portugal,393,80,10342,15906866,1966,179,4
1/1/2020,Austria,689,128,122806,4287918,905,32,22
1/1/2020,Italy,3175,793,395454,90088120,27763,475,172
1/1/2020,Denmark,36,12,94016,6661033,546,17,28
1/1/2020,Finland,39,16,79362,13574763,1195,9,16
1/1/2020,Netherlands,106,49,51852,43008528,92,35,16
1/1/2020,Spain,735,251,178177,63118951,39792,367,41
1/1/2020,Sweden,80,26,99765,14138970,2086,27,26
1/1/2020,Switzerland,311,71,87918,13587757,346,23,24
1/1/2020,Czechia,16,4,36152,17776909,0,2,16
1/1/2020,Estonia,3,2,29761,2454090,0,0,7
1/1/2020,Norway,28,10,102343,5583878,1187,11,4
2/1/2020,Austria,523,177,122744,4805922,900,63,23
2/1/2020,Belgium,914,331,234818,15645992,17,58,63
2/1/2020,France,5565,2021,378106,117492320,22899,888,62
2/1/2020,Germany,3219,965,434842,143270541,6605,287,97
2/1/2020,United Kingdom,5168,1789,137963,211804354,18204,350,14
2/1/2020,Italy,3770,889,399434,104598959,2903,627,170
2/1/2020,Netherlands,120,25,50661,46092805,197,38,15
2/1/2020,Portugal,524,138,11163,22228825,6326,238,4
2/1/2020,Spain,754,227,187643,89769173,24237,687,41
2/1/2020,Sweden,156,79,108371,16764780,1626,80,27
2/1/2020,Switzerland,399,120,87795,15924505,317,58,23
2/1/2020,Czechia,21,4,32845,21310872,0,11,17
2/1/2020,Denmark,43,17,91020,6255578,514,10,29
2/1/2020,Finland,47,14,76473,11413882,642,4,15
2/1/2020,Norway,26,7,92124,6288639,947,11,4
2/1/2020,Estonia,14,8,26448,2095925,0,0,7
3/1/2020,Austria,3337,642,82240,6877935,891,87,23
3/1/2020,Belgium,3487,649,149108,23642830,127,53,63
3/1/2020,France,24936,4311,273804,182113096,323,473,63
3/1/2020,Germany,13057,2668,382322,203594980,6646,357,98
3/1/2020,United Kingdom,17799,4133,84869,240316478,43,246,14
3/1/2020,Italy,5624,1257,165368,139666818,7857,194,171
3/1/2020,Netherlands,275,55,34296,60143401,18,22,15
3/1/2020,Portugal,926,186,7406,26715378,4021,235,4
3/1/2020,Spain,1666,364,118846,124367710,486,823,40
3/1/2020,Sweden,237,85,95610,29590847,77,56,26
3/1/2020,Switzerland,573,142,74629,19126714,335,58,23
3/1/2020,Czechia,22,7,22724,26022824,0,12,17
3/1/2020,Denmark,67,28,66826,7414019,24,12,29
3/1/2020,Finland,102,18,68514,16068087,34,1,14
3/1/2020,Norway,26,9,62654,10137721,18,16,3
3/1/2020,Estonia,8,2,19459,1512250,0,0,7
4/1/2020,Austria,2715,776,60095,9525508,704,19,23
4/1/2020,Belgium,2796,796,93058,30712501,0,16,65
4/1/2020,Denmark,55,26,56585,9093758,0,24,30
4/1/2020,Finland,97,26,48275,14405872,0,5,14
4/1/2020,France,15674,4312,132310,191251387,0,86,63
4/1/2020,Germany,10430,2806,377700,278162688,5439,317,97
4/1/2020,United Kingdom,11962,4174,26683,207731194,0,104,14
4/1/2020,Italy,9330,2280,74369,195291698,0,150,168
4/1/2020,Netherlands,194,49,16513,55174288,0,11,15
4/1/2020,Norway,48,16,58197,10517208,0,5,3
4/1/2020,Portugal,915,188,1958,18558010,0,107,4
4/1/2020,Spain,1614,403,20890,92574460,0,500,37
4/1/2020,Sweden,468,352,71597,30297795,0,44,27
4/1/2020,Switzerland,878,253,61420,23800210,255,33,24
4/1/2020,Czechia,29,6,16120,32234033,0,7,16
4/1/2020,Estonia,10,5,9983,1525515,0,0,6
5/1/2020,Austria,2205,341,126752,10129846,769,46,23
5/1/2020,Belgium,2524,481,185815,30248916,2905,24,62
5/1/2020,Denmark,60,26,95328,12105703,27,100,30
5/1/2020,Estonia,5,2,24274,2639805,0,0,6
5/1/2020,Finland,350,36,59369,20722293,0,14,14
5/1/2020,France,16845,2924,239661,259135839,17907,162,62
5/1/2020,Germany,8929,1659,469520,273973490,5597,284,98
5/1/2020,United Kingdom,8143,1673,54833,262040002,36679,64,14
5/1/2020,Italy,12064,2703,174780,206174826,20580,335,170
5/1/2020,Netherlands,400,48,27327,63741723,0,24,15
5/1/2020,Portugal,1977,351,5666,38441593,701,219,4
5/1/2020,Spain,3058,694,82067,200110449,30300,679,37
5/1/2020,Sweden,608,499,86075,35650406,154,56,26
5/1/2020,Switzerland,1248,320,107739,30118084,254,71,25
5/1/2020,Norway,55,13,90681,13715739,0,22,3
5/1/2020,Czechia,44,23,33720,23773938,0,29,16
6/1/2020,Austria,3527,891,159341,6647710,867,38,24
6/1/2020,Belgium,4991,1123,272634,18427501,2621,55,63
6/1/2020,Czechia,40,20,40216,27307901,0,24,17
6/1/2020,Denmark,84,35,141352,14190895,51,96,30
6/1/2020,France,32070,7559,380188,136421638,46173,702,62
6/1/2020,Germany,10408,2888,506658,196054424,19887,395,98
6/1/2020,United Kingdom,14102,4099,96627,197548292,17835,207,15
6/1/2020,Italy,7806,2003,288414,113063614,19174,707,169
6/1/2020,Netherlands,195,53,41709,57401822,0,73,14
6/1/2020,Norway,45,13,125950,14637351,167,9,3
6/1/2020,Portugal,1890,396,8449,23554397,0,328,4
6/1/2020,Spain,1618,423,132466,84158601,19040,2075,38
6/1/2020,Sweden,564,331,101119,29489854,143,30,27
6/1/2020,Switzerland,1495,379,121412,15837958,367,47,29
6/1/2020,Finland,36,11,71937,13685578,41,21,14
6/1/2020,Estonia,6,2,28412,1923476,0,0,6
7/1/2020,Austria,781,405,153718,5698037,800,56,24
7/1/2020,Belgium,761,419,219502,20050049,40,27,63
7/1/2020,Czechia,97,49,31755,25701555,0,19,20
7/1/2020,Denmark,119,77,89660,6776877,0,20,30
7/1/2020,Finland,181,67,56322,13463949,0,11,14
7/1/2020,France,8387,4257,315346,137074374,48065,669,62
7/1/2020,Germany,19045,9475,500732,154162454,5529,392,99
7/1/2020,United Kingdom,3027,1508,136053,202300313,4542,233,17
7/1/2020,Italy,10775,5271,353417,96134303,30235,948,170
7/1/2020,Netherlands,584,286,41850,50033827,0,35,14
7/1/2020,Norway,84,58,75508,6830764,244,7,3
7/1/2020,Portugal,2482,825,8776,27429146,2621,310,4
7/1/2020,Spain,2215,1072,123319,74340097,34391,1494,34
7/1/2020,Sweden,1009,408,76103,18986619,0,9,26
7/1/2020,Switzerland,1369,613,97717,12808841,577,87,29
7/1/2020,Estonia,16,12,24684,1021432,0,0,6
8/1/2020,Austria,3574,1385,109595,6129709,757,27,25
8/1/2020,Belgium,3992,1900,178636,21440803,0,39,62
8/1/2020,Czechia,138,78,26302,23345579,0,17,22
8/1/2020,Denmark,265,199,88188,9035836,0,33,31
8/1/2020,Finland,444,117,64858,16843789,1474,15,14
8/1/2020,France,27097,12392,234248,148170870,425,218,61
8/1/2020,Germany,60913,30413,408084,187676031,6055,201,98
8/1/2020,United Kingdom,22593,9632,126824,251857100,10613,248,18
8/1/2020,Italy,9591,4623,278415,131806780,296,259,171
8/1/2020,Netherlands,709,277,34354,58429913,0,14,14
8/1/2020,Norway,296,233,90331,10191933,1448,13,3
8/1/2020,Portugal,2263,787,8080,24778003,16108,170,4
8/1/2020,Spain,1987,1049,80159,101457868,14420,326,35
8/1/2020,Sweden,1632,733,85270,24743200,1572,25,26
8/1/2020,Switzerland,2749,1213,92225,20771094,275,22,29
8/1/2020,Estonia,17,11,25289,1631638,0,0,6
9/1/2020,Austria,7081,3563,142920,3769914,403,61,25
9/1/2020,Belgium,4908,2441,206608,12400898,24,26,61
9/1/2020,Czechia,89,56,40745,18205268,0,26,20
9/1/2020,Denmark,304,221,106229,5328825,0,32,31
9/1/2020,Estonia,29,18,30618,1910210,0,0,6
9/1/2020,Finland,349,114,80223,9696260,0,32,14
9/1/2020,France,28593,13994,319368,104437618,14249,879,61
9/1/2020,Germany,61491,31975,492366,134892146,4048,382,99
9/1/2020,United Kingdom,24738,10887,173294,211125494,8659,358,23
9/1/2020,Italy,10456,5171,376084,90692739,24437,858,171
9/1/2020,Netherlands,644,291,43533,47806293,0,21,14
9/1/2020,Norway,209,143,102532,6830763,0,18,3
9/1/2020,Portugal,1877,650,10210,15295064,0,348,4
9/1/2020,Spain,2287,1217,143918,73872549,29252,1492,36
9/1/2020,Sweden,1538,698,115535,16663787,0,56,27
9/1/2020,Switzerland,4625,2332,110861,14193580,190,69,29
10/1/2020,Austria,9320,4459,130276,3453356,4809,114,25
10/1/2020,Belgium,3447,1424,194864,11705518,19,29,62
10/1/2020,Czechia,144,90,40287,15206754,0,25,20
10/1/2020,Denmark,573,288,97000,6139733,25,76,29
10/1/2020,Estonia,26,19,32934,1034698,1,0,6
10/1/2020,Finland,466,128,79779,12411214,0,16,14
10/1/2020,France,20638,7669,347749,91382915,43590,906,60
10/1/2020,Germany,62737,32401,468203,118973198,5040,449,102
10/1/2020,United Kingdom,15404,5945,199255,194153992,7843,363,24
10/1/2020,Italy,9386,4551,393296,85251174,29689,849,177
10/1/2020,Netherlands,656,317,39197,44379319,0,28,14
10/1/2020,Norway,170,120,98580,6722339,19,16,3
10/1/2020,Portugal,1838,616,9639,14275393,0,371,4
10/1/2020,Spain,1276,704,167862,60781212,34109,2093,39
10/1/2020,Sweden,7000,1774,122661,18178678,53,65,29
10/1/2020,Switzerland,5842,2993,99067,12722294,227,82,29
11/1/2020,Austria,13807,6436,115419,4575697,658,271,24
11/1/2020,Belgium,6175,2757,158935,14602926,59,18,60
11/1/2020,Denmark,441,241,100240,7587784,26,80,31
11/1/2020,Estonia,26,12,30158,1857150,6,0,6
11/1/2020,Finland,515,153,77454,13740985,473,23,14
11/1/2020,France,41985,17930,321555,105743088,8859,677,60
11/1/2020,Germany,82518,41610,476261,139081343,4877,427,102
11/1/2020,United Kingdom,36858,15785,205536,229454717,7717,294,26
11/1/2020,Italy,9335,4450,319473,91297358,23790,627,174
11/1/2020,Netherlands,700,325,37833,58087216,39,17,14
11/1/2020,Norway,184,148,93988,8511348,450,10,6
11/1/2020,Portugal,1901,638,10665,24370135,3526,288,3
11/1/2020,Spain,1128,612,168063,79015575,41303,1327,39
11/1/2020,Sweden,1544,771,107048,16259816,388,45,27
11/1/2020,Switzerland,7451,3718,95648,13760849,245,100,28
11/1/2020,Czechia,84,51,35979,22703039,1,21,22
12/1/2020,Austria,8935,4625,67846,4431808,3156,128,25
12/1/2020,Belgium,3783,1829,124089,15066511,54,33,60
12/1/2020,Czechia,59,32,25168,17776908,0,14,22
12/1/2020,Denmark,426,223,59747,5444669,30,60,29
12/1/2020,Finland,243,90,52127,12023362,20,14,14
12/1/2020,France,30180,14930,223350,96604797,30837,690,62
12/1/2020,Germany,62797,32771,306963,140757023,4353,549,103
12/1/2020,United Kingdom,27538,13448,143049,217914096,2349,149,26
12/1/2020,Italy,8673,4292,183683,97948158,14938,378,175
12/1/2020,Netherlands,527,316,23828,51404616,45,28,14
12/1/2020,Norway,240,140,57757,7860799,25,7,3
12/1/2020,Portugal,1689,580,7030,17232439,155,225,2
12/1/2020,Spain,4128,2332,100859,70599715,15539,854,38
12/1/2020,Sweden,1950,655,69281,19592574,55,68,29
12/1/2020,Switzerland,6316,3185,64384,13241572,204,67,28
12/1/2020,Estonia,14,7,18173,1445923,7,0,7
